Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
2,M480,M226 SPED - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/1/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033676
2,M480,VANGUARD HS - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/1/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033703
2,M480,M226 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/9/2024,DIIR,7/18/2024,DIIR,50000.00,50000.00,DSF0001035753
2,M480,URBAN ACADEMY LABORATORY HS - M,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001035757
2,M480,VANGUARD HS - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086298
2,M480,MANHATTAN INTERNATIONAL HS - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/12/2024,DIIR,7/10/2024,DIIR,50000.00,50000.00,DSF0001086299
2,M480,URBAN ACADEMY LABORATORY HS - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,6/7/2024,DIIR,8/16/2024,DIIR,50000.00,,DSF0001086300
2,M480,P.S. 225 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/31/2024,DIIR,8/9/2024,DIIR,50000.00,,DSF0001086301
2,M480,M226 SPED - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086302
2,M480,P.S. 225 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112889
2,M480,M226 SPED - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112890
2,M480,VANGUARD HS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112891
2,M480,MANHATTAN INTERNATIONAL HS - M,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112892
2,M480,TALENT UNLIMITED HS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112893
2,M480,URBAN ACADEMY LABORATORY HS - M,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112894
2,M480,TALENT UNLIMITED HS - MANHATTAN,DOE - RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/24/2018,DOER,,DOER,241208.00,0.00,DSF0000822321
2,M480,TALENT UNLIMITED HS - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,11/3/2023,DOER,,DOER,315391.00,0.00,DSF0001086297
2,M480,P.S. 225 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,Complete,6/27/2019,DOES,7/1/2020,DOES,223851.00,9503.00,DSF0000877036
2,M480,P.S. 225 - MANHATTAN,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,10/12/2023,DOES,,DOES,694736.00,325233.00,DSF0001070503
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS / WINDOWS,Scope,Complete,10/15/2018,3/5/2019,4/12/2019,90044,180570.00,180570.00,"DSF0000877067, DSF0000877069, DSF0000877070, DSF0000899958, DSF0000899960"
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS / WINDOWS,Design,Complete,4/12/2019,9/12/2019,6/30/2020,437233,342685.00,324197.00,"DSF0000877067, DSF0000877069, DSF0000877070, DSF0000899958, DSF0000899960"
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS / WINDOWS,Construction,PNS,PNS,PNS,PNS,8714249,8714249.00,38539.00,"DSF0000877067, DSF0000877069, DSF0000877070, DSF0000899958, DSF0000899960"
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,727725,727725.00,59030.00,"DSF0000877067, DSF0000877069, DSF0000877070, DSF0000899958, DSF0000899960"
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,Fast Track Projects,LSP - FY22 RESO A ELECTRICAL UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,174860.00,0.00,DSF0001033715
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001086304
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,5/12/2022,DOES,,DOES,73822.00,540468.00,DSF0001019820
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,Scope,Complete,10/30/2019,4/3/2020,3/10/2020,0,28662.00,28662.00,DSF0000912749
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,Design,Complete,3/11/2020,8/10/2020,8/23/2022,194775,127213.00,111464.00,DSF0000912749
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,Construction,In-Progress,3/20/2023,9/9/2024,,2856700,2702316.00,373475.00,DSF0000912749
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,"CM,F&E",In-Progress,3/20/2023,9/9/2024,,194775,212285.00,207894.00,DSF0000912749
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/12/2023,3/14/2024,9/19/2024,0,6153.00,388.00,DSF0001086305
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,In-Progress,9/26/2024,2/14/2025,,30000,23847.00,1550.00,DSF0001086305
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000.00,0.00,DSF0001086305
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.00,3727.00,DSF0001086305
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,In-Progress,7/8/2024,10/7/2024,,0,44.00,44.00,DSF0001087046
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,178.00,178.00,DSF0001087046
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087046
2,M488,P.S. 59 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,168.00,168.00,DSF0001087046
2,M488,P.S. 59 - MANHATTAN,SCA Emergency Response,EMERGENCY- FACADE INVESTIGATION @ M488,Construction,In-Progress,6/5/2023,EMER,,EMER,582115.00,385920.00,SCA0000072052
2,M488,ART & DESIGN VOC HS - MANHATTAN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/30/2021,DIIR,,DIIR,100000.00,0.00,DSF0000866505
2,M488,P.S. 59 - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/18/2024,DIIR,6/5/2024,DIIR,100000.00,100000.00,DSF0001035759
2,M488,ART & DESIGN VOC HS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001112896
2,M488,P.S. 59 - MANHATTAN,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/23/2020,DOER,,DOER,123066.00,0.00,DSF0000913343
2,M488,P.S. 59 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,60000.00,0.00,DSF0001033633
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - RESOA,FY22 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,68527.00,0.00,DSF0001033723
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001033724
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001035761
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,9/27/2023,DOER,,DOER,254242.00,0.00,DSF0001035762
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,130000.00,0.00,DSF0001086306
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - Skilled Trades,IP DIGITAL VIDEO SURVEILLANCE SYSTE,Construction,In-Progress,5/23/2014,DOES,,DOES,83000.00,0.00,DSF0000799890
2,M488,ART & DESIGN VOC HS - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2/29/2024,DOES,5/21/2024,DOES,50832.00,7456.00,DSF0001084257
2,M491,DISTRICT 2 PRE-K CENTER,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,4/10/2024,DOES,,DOES,50832.00,0.00,DSF0001085485
2,M493,P.S. @ 2 HUDSON SQUARE - MANHATTAN,SCA Capacity,NEW SCHOOL,Scope,Complete,4/19/2018,10/9/2018,1/25/2021,661838,836785.00,834689.00,DSF0000798236
2,M493,P.S. @ 2 HUDSON SQUARE - MANHATTAN,SCA Capacity,NEW SCHOOL,Design,Complete,1/26/2021,4/10/2019,4/4/2023,2647352,1457207.00,1366481.00,DSF0000798236
2,M493,P.S. @ 2 HUDSON SQUARE - MANHATTAN,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,36566551,36566551.00,26419.00,DSF0000798236
2,M493,P.S. @ 2 HUDSON SQUARE - MANHATTAN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,4798326,4798326.00,195615.00,DSF0000798236
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,Scope,Complete,11/18/2020,2/16/2021,5/7/2021,71190,119477.00,119477.00,"DSF0001019951, DSF0001019957"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,Design,Complete,5/18/2021,10/19/2021,12/17/2021,355950,354107.00,317163.00,"DSF0001019951, DSF0001019957"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,Construction,In-Progress,9/5/2022,9/3/2024,,8008876,8691756.00,6754474.00,"DSF0001019951, DSF0001019957"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,"CM,F&E",In-Progress,9/5/2022,9/3/2024,,498330,310620.00,283665.00,"DSF0001019951, DSF0001019957"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,GENERATOR REPLACEMENT / NEW GAS METER ROOM,Scope,Complete,3/5/2021,7/6/2021,3/5/2021,18902,2734.00,2734.00,"DSF0000945528, DSF0000945529"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,GENERATOR REPLACEMENT / NEW GAS METER ROOM,Design,Complete,3/5/2021,8/4/2021,2/23/2023,85062,10932.00,10932.00,"DSF0000945528, DSF0000945529"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,GENERATOR REPLACEMENT / NEW GAS METER ROOM,Construction,PNS,PNS,PNS,PNS,1096346,1096346.00,1605.00,"DSF0000945528, DSF0000945529"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,GENERATOR REPLACEMENT / NEW GAS METER ROOM,"CM,F&E",PNS,PNS,PNS,PNS,203203,203203.00,65783.00,"DSF0000945528, DSF0000945529"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,Scope,Complete,7/6/2021,11/19/2021,10/25/2021,151512,92010.00,92010.00,"DSF0000994327, DSF0000994328, DSF0001019950"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,Design,Complete,11/24/2021,4/28/2022,5/11/2022,754168,431668.00,364624.00,"DSF0000994327, DSF0000994328, DSF0001019950"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,Construction,In-Progress,1/4/2024,1/2/2026,,16675372,15050776.00,1777287.00,"DSF0000994327, DSF0000994328, DSF0001019950"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,"CM,F&E",In-Progress,1/4/2024,1/2/2026,,1086024,66740.00,66740.00,"DSF0000994327, DSF0000994328, DSF0001019950"
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Scope,Complete,3/9/2022,5/13/2022,9/12/2022,20950,7327.00,7327.00,DSF0001034382
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Design,Complete,9/13/2022,1/13/2023,1/27/2023,104750,164762.00,132899.00,DSF0001034382
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Construction,In-Progress,6/5/2023,10/1/2024,,2356875,2160426.00,1403101.00,DSF0001034382
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,"CM,F&E",In-Progress,6/5/2023,10/1/2024,,146650,52740.00,52740.00,DSF0001034382
2,M520,BERGTRAUM HS - MANHATTAN,Fast Track Projects,LSP- LIGHTING UPGRADE,Construction,In-Progress,2/21/2023,FTK,,FTK,281494.00,201531.00,DSF0001034385
2,M520,BERGTRAUM HS - MANHATTAN,Fast Track Projects,LSP- CEILING AND LIGHTING UPGRADE,Construction,In-Progress,2/21/2023,FTK,,FTK,438361.00,342524.00,DSF0001034386
2,M520,BERGTRAUM HS - MANHATTAN,Fast Track Projects,LSP- GYMNASIUM UPGRADE,Construction,In-Progress,5/1/2023,FTK,,FTK,424087.00,383916.00,DSF0001034384
2,M520,BERGTRAUM HS - MANHATTAN,Fast Track Projects,LSP- AUDITORIUM UPGRADE,Construction,In-Progress,1/23/2023,FTK,,FTK,572039.00,471865.00,DSF0001034383
2,M520,THE URBAN ASSEMBLY EARLY COLLEGE HIGH SCHOOL OF EMERGENCY MEDICINE,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2021,DIIR,6/10/2024,DIIR,50000.00,,DSF0000961326
2,M520,URBAN ASSEMBLY MAKER ACADEMY,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033198
2,M520,URBAN ASSEMBLY MAKER ACADEMY,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001035771
2,M520,THE URBAN ASSEMBLY EARLY COLLEGE HIGH SCHOOL OF EMERGENCY MEDICINE,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,195709.00,0.00,DSF0001086310
2,M520,THE URBAN ASSEMBLY EARLY COLLEGE HIGH SCHOOL OF EMERGENCY MEDICINE,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112899
2,M520,BERGTRAUM HS - MANHATTAN,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,7/23/2019,DOES,,DOES,846987.00,97181.00,DSF0000877174
2,M520,BERGTRAUM HS - MANHATTAN,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,Complete,3/10/2023,DOES,10/25/2023,DOES,509391.00,495994.00,DSF0001034910
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Scope,Complete,8/15/2019,2/3/2020,1/24/2020,83930,143676.00,143676.00,DSF0000900081
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Design,In-Progress,4/18/2022,10/11/2022,,419648,419648.00,175727.00,DSF0000900081
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Construction,PNS,PNS,PNS,PNS,9442071,9442071.00,159874.00,DSF0000900081
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,587507,587507.00,40699.00,DSF0000900081
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Scope,In-Progress,6/18/2024,10/18/2024,,75249,75249.00,1808.00,DSF0001112060
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Design,PNS,PNS,PNS,PNS,351160,351160.00,7232.00,DSF0001112060
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Construction,PNS,PNS,PNS,PNS,5568400,5568400.00,374.00,DSF0001112060
2,M521,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,"CM,F&E",PNS,PNS,PNS,PNS,551823,551823.00,14033.00,DSF0001112060
2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Scope,Complete,11/1/2021,12/21/2021,1/31/2022,216951,326093.00,201529.00,DSF0001034161
2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Design,Complete,2/1/2022,2/18/2022,4/5/2023,976282,683347.00,541090.00,DSF0001034161
2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Construction,In-Progress,10/18/2023,9/3/2024,,12311996,13031051.00,12326037.00,DSF0001034161
2,M523,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,"CM,F&E",In-Progress,10/18/2023,9/3/2024,,1887927,574921.00,1167229.00,DSF0001034161
2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Scope,Complete,2/4/2022,3/4/2022,3/11/2022,268658,265086.00,247062.00,DSF0001034356
2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Design,Complete,3/14/2022,6/10/2022,2/6/2023,1208963,1269243.00,1043987.00,DSF0001034356
2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Construction,In-Progress,2/27/2023,9/3/2023,,15246363,15772302.00,15068740.00,DSF0001034356
2,M524,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,"CM,F&E",In-Progress,2/27/2023,9/3/2023,,2149267,711945.00,1454152.00,DSF0001034356
2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Scope,Complete,10/4/2022,2/1/2023,2/1/2023,2396800,1313333.00,1106310.00,DSF0001008866
2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Design,Complete,2/2/2023,10/4/2023,5/9/2024,10785600,4346491.00,4195522.00,DSF0001008866
2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Construction,PNS,PNS,PNS,PNS,136018400,136018400.00,335946.00,DSF0001008866
2,M533,HARBOR HIGH SCHOOL ATHLETIC COMPLEX - MANHATTAN,SCA Lease Site Improvement,LEASE,"CM,F&E",PNS,PNS,PNS,PNS,19174400,19174400.00,445255.00,DSF0001008866
2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Scope,Complete,11/10/2021,3/31/2022,1/25/2022,160567,133507.00,133507.00,"DSF0001019987, DSF0001019985, DSF0001019986"
2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Design,Complete,2/1/2022,7/1/2022,5/12/2022,793146,547862.00,517894.00,"DSF0001019987, DSF0001019985, DSF0001019986"
2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Construction,In-Progress,7/18/2022,7/16/2024,,17007903,15451512.00,12647311.00,"DSF0001019987, DSF0001019985, DSF0001019986"
2,M535,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,1196615,917447.00,900687.00,"DSF0001019987, DSF0001019985, DSF0001019986"
2,M535,URBAN ASSEMBLY HS - MANHATTAN,SCA Furniture & Equipment,FY22 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,100000,100000.00,0.00,DSF0001033203
2,M535,FACING HISTORY SCHOOL - MANHATTAN,SCA Furniture & Equipment,FY22 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,77000,77000.00,0.00,DSF0001034994
2,M535,FOOD AND FINANCE HS - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001007815
2,M535,HOSPITALITY MANAGEMENT HS - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/18/2024,DIIR,5/17/2024,DIIR,50000.00,50000.00,DSF0001086312
2,M535,MANHATTAN BRIDGES - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,650000.00,0.00,DSF0001035772
2,M535,MANHATTAN BRIDGES - MANHATTAN,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,7/3/2019,DOES,,DOES,5555.00,139963.00,DSF0000900100
2,M600,FASHION INDUSTRIES VOC HS - M,SCA IEH,PO18-WE WILL NEED APPROXIMATELY 5 TO 6 FEET OF PIPING ABATED IN THE CEILING OF ROOM 702. AREAS ARE M,Construction,Complete,7/23/2024,IEH,8/16/2024,IEH,14342.00,652.00,SCA0000073168
2,M600,FASHION INDUSTRIES VOC HS - M,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001112901
2,M600,FASHION INDUSTRIES VOC HS - M,DOE - RESOA,FY17 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,6/29/2018,DOER,,DOER,74401.00,0.00,DSF0000844215
2,M600,FASHION INDUSTRIES VOC HS - M,DOE - RESOA,FY20 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,218175.00,0.00,DSF0000913100
2,M600,FASHION INDUSTRIES VOC HS - M,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,7/9/2021,DOER,,DOER,224140.00,0.00,DSF0000961398
2,M600,FASHION INDUSTRIES VOC HS - M,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,Complete,11/14/2023,DOER,3/10/2024,DOER,150000.00,7000.00,DSF0001086313
2,M600,FASHION INDUSTRIES VOC HS - M,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,10/5/2023,DOER,,DOER,78745.00,0.00,DSF0001086314
2,M600,M751 SPED - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,12/14/2023,DOES,,DOES,681064.00,0.00,DSF0001085747
2,M615,CHELSEA VOC HS - MANHATTAN,SCA IEH,"PO18-ROOM 405A ABATE APPROX 10 SQ. FT. LOOSE AND BROKEN FLOOR TILES, ENCAPSULATE FLOOR",Construction,In-Progress,6/27/2024,IEH,,IEH,816.00,241.00,SCA0000073096
2,M615,CHELSEA VOCATIONAL H.S.,DOE - RESOA,FY09 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,78577.00,0.00,DSF0000623118
2,M615,NYC ISCHOOL - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,1/19/2024,DOER,,DOER,150000.00,9025.00,DSF0001086315
2,M615,CHELSEA VOC HS - MANHATTAN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,8/21/2023,DOES,,DOES,62070.00,0.00,DSF0000866125
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Scope,Complete,10/2/2015,2/23/2016,4/25/2016,176283,197110.00,197110.00,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Design,Complete,10/10/2018,3/15/2019,5/2/2019,865743,507479.00,487077.00,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Construction,PNS,PNS,PNS,PNS,18965971,18965971.00,461479.00,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299"
